filename,URLs
SNV_OV_Chunk_3_28.txt,http://elaspic.kimlab.org/result/1adc67a6/ - http://elaspic.kimlab.org/result/a5417794/ - http://elaspic.kimlab.org/result/df1c0a74/ - http://elaspic.kimlab.org/result/9cfdf4ee/ - http://elaspic.kimlab.org/result/adcba655/
SNV_OV_Chunk_4_86.txt,http://elaspic.kimlab.org/result/aee445f5/ - http://elaspic.kimlab.org/result/5737a9d6/ - http://elaspic.kimlab.org/result/4e655d7d/ - http://elaspic.kimlab.org/result/402a0c68/
SNV_OV_Chunk_7_46.txt,http://elaspic.kimlab.org/result/5fda542c/ - http://elaspic.kimlab.org/result/3ab9b82c/ - http://elaspic.kimlab.org/result/e2b88ed2/ - http://elaspic.kimlab.org/result/7ae3bbb6/ - http://elaspic.kimlab.org/result/14f0f809/
SNV_OV_Chunk_13_11.txt,http://elaspic.kimlab.org/result/8c01be05/ - http://elaspic.kimlab.org/result/3dac0973/ - http://elaspic.kimlab.org/result/d5849999/ - http://elaspic.kimlab.org/result/7505d66e/ - http://elaspic.kimlab.org/result/c0276514/ - http://elaspic.kimlab.org/result/01cdec14/ - http://elaspic.kimlab.org/result/8ae43e72/ - http://elaspic.kimlab.org/result/3f7829dc/ - http://elaspic.kimlab.org/result/9f440804/ - http://elaspic.kimlab.org/result/ee57fd5b/ - http://elaspic.kimlab.org/result/79bccd9c/ - http://elaspic.kimlab.org/result/34f555f3/ - http://elaspic.kimlab.org/result/85fbcad5/ - http://elaspic.kimlab.org/result/15ec96cd/ - http://elaspic.kimlab.org/result/84a4cde2/ - http://elaspic.kimlab.org/result/f4e10fb7/ - http://elaspic.kimlab.org/result/170e25d6/ - http://elaspic.kimlab.org/result/4a52dc83/ - http://elaspic.kimlab.org/result/60f96674/ - http://elaspic.kimlab.org/result/2fb73d1c/ - http://elaspic.kimlab.org/result/54871fa0/ - http://elaspic.kimlab.org/result/9fef047d/
SNV_OV_Chunk_10_2.txt,http://elaspic.kimlab.org/result/e66aa5d4/ - http://elaspic.kimlab.org/result/176a04d9/ - http://elaspic.kimlab.org/result/c53cac56/ - http://elaspic.kimlab.org/result/a5527b33/ - http://elaspic.kimlab.org/result/c6db855a/ - http://elaspic.kimlab.org/result/f37d373f/ - http://elaspic.kimlab.org/result/e92172ff/
SNV_OV_Chunk_33_12.txt,http://elaspic.kimlab.org/result/f60806ed/ - http://elaspic.kimlab.org/result/f07a1aa3/ - http://elaspic.kimlab.org/result/794004c9/ - http://elaspic.kimlab.org/result/15e544eb/ - http://elaspic.kimlab.org/result/3aa76592/ - http://elaspic.kimlab.org/result/c47cc1bb/ - http://elaspic.kimlab.org/result/d95ad92a/ - http://elaspic.kimlab.org/result/02b1f0ec/ - http://elaspic.kimlab.org/result/538a16ad/ - http://elaspic.kimlab.org/result/afb2d548/ - http://elaspic.kimlab.org/result/b7362aca/ - http://elaspic.kimlab.org/result/f49aabd5/ - http://elaspic.kimlab.org/result/0090b45f/ - http://elaspic.kimlab.org/result/df1f85e4/ - http://elaspic.kimlab.org/result/ade61397/
SNV_OV_Chunk_11_10.txt,http://elaspic.kimlab.org/result/b0bd4e59/
SNV_OV_Chunk_11_11.txt,http://elaspic.kimlab.org/result/5aad72aa/
SNV_OV_Chunk_11_12.txt,http://elaspic.kimlab.org/result/ae558b3f/
SNV_OV_Chunk_11_13.txt,http://elaspic.kimlab.org/result/1f228021/
SNV_OV_Chunk_11_14.txt,http://elaspic.kimlab.org/result/569614e4/
SNV_OV_Chunk_11_15.txt,http://elaspic.kimlab.org/result/261ce690/
SNV_OV_Chunk_11_16.txt,http://elaspic.kimlab.org/result/d1102691/
SNV_OV_Chunk_11_17.txt,http://elaspic.kimlab.org/result/8d72e640/
SNV_OV_Chunk_11_19.txt,http://elaspic.kimlab.org/result/77711641/
SNV_OV_Chunk_12_100.txt,http://elaspic.kimlab.org/result/1e61cbc2/
SNV_OV_Chunk_12_13.txt,http://elaspic.kimlab.org/result/6b9f8e26/
SNV_OV_Chunk_12_14.txt,http://elaspic.kimlab.org/result/64f2d00a/
SNV_OV_Chunk_12_15.txt,http://elaspic.kimlab.org/result/93a7d61d/
SNV_OV_Chunk_12_17.txt,http://elaspic.kimlab.org/result/62d05f6d/
SNV_OV_Chunk_13_100.txt,http://elaspic.kimlab.org/result/d390ce72/ - http://elaspic.kimlab.org/result/01a7e2b8/
SNV_OV_Chunk_13_17.txt,http://elaspic.kimlab.org/result/c9dd3843/
SNV_OV_Chunk_13_18.txt,http://elaspic.kimlab.org/result/b6a97169/
SNV_OV_Chunk_13_19.txt,http://elaspic.kimlab.org/result/87ed145a/
SNV_OV_Chunk_13_2.txt,http://elaspic.kimlab.org/result/d84c2cf6/
SNV_OV_Chunk_14_10.txt,http://elaspic.kimlab.org/result/441f847a/
SNV_OV_Chunk_14_100.txt,http://elaspic.kimlab.org/result/087222a1/
SNV_OV_Chunk_14_11.txt,http://elaspic.kimlab.org/result/1087661f/
SNV_OV_Chunk_14_12.txt,http://elaspic.kimlab.org/result/df9544d7/
SNV_OV_Chunk_14_13.txt,http://elaspic.kimlab.org/result/da4a4b49/
SNV_OV_Chunk_15_1.txt,http://elaspic.kimlab.org/result/ef438462/
